Building Information :,
country,state,city,street,zip,longitude,latitude,elecation,
Nepal,Bagmati,kathmandu,,,82.8828659057617,28.0999183654785,1103
Station Information :
location,distance from building,last update date,temperature,humidity,bar pressure,wind,direction,station name,
NP,Sinamangal,53.2274051452381,2016-11-06T13:50:00,15,72,1016,2.1,South-southeast,VNKT,
Historical Data,
date,hour,minute,distance form building,temperature,humidity,bar pressure,wind speed,wind direction,station name 
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,12,50,53.2274051452381,18,68,1015,2.6,West,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
11/6/2016 12:00:00 AM,13,20,53.2274051452381,16,67,1016,2.1,South,VNKT.
